module_name,balancing,balancing,balancing,battery,battery,battery,battery,battery,grid,grid,grid,grid,grid,grid,grid,grid,load,load,load,load,load,load,load,load,load,renewable2.csv.gz,renewable2.csv.gz,renewable2.csv.gz,renewable2.csv.gz,renewable22.csv.gz,renewable22.csv.gz,renewable22.csv.gz,renewable22.csv.gz,balance,balance,balance,balance,balance,balance,balance,balance,balance,balance,net_load,action,converted_action,converted_action
module_number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
field,loss_load,overgeneration,reward,charge_amount,current_charge,discharge_amount,reward,soc,co2_per_kwh_current,co2_production,export_price_current,grid_export,grid_import,grid_status_current,import_price_current,reward,load_current,load_met,reward,load_current,load_met,reward,load_current,load_met,reward,curtailment,renewable_current,renewable_used,reward,curtailment,renewable_current,renewable_used,reward,reward,shaped_reward,overall_provided_to_microgrid,overall_absorbed_from_microgrid,flex_provided_to_microgrid,flex_absorbed_from_microgrid,controllable_provided_to_microgrid,controllable_absorbed_from_microgrid,fixed_provided_to_microgrid,fixed_absorbed_from_microgrid,,,battery_0,grid_0
20,99212.0518503509,0.0,-992120.518503509,0.0,10.0,0.0,-0.0,0.01,0.149420304,14.9420304,0.0,0.0,100.0,1.0,0.11,-11.0,-77062.6508554334,77062.6508554334,0.0,-10325.50375559475,10325.50375559475,0.0,-11923.89723932275,11923.89723932275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-992131.518503509,-992131.518503509,99312.0518503509,99312.0518503509,99212.0518503509,0.0,100.0,0.0,0.0,99312.0518503509,99312.0518503509,1,0.0,100.0
21,92589.73055511403,0.0,-925897.3055511403,0.0,10.0,0.0,-0.0,0.01,0.160581971,16.058197099999997,0.0,0.0,100.0,1.0,0.11,-11.0,-71330.3132554841,71330.3132554841,0.0,-9463.903481732545,9463.903481732545,0.0,-11895.513817897388,11895.513817897388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-925908.3055511403,-925908.3055511403,92689.73055511403,92689.73055511403,92589.73055511403,0.0,100.0,0.0,0.0,92689.73055511403,92689.73055511403,1,0.0,100.0
22,80311.76046562307,0.0,-803117.6046562307,0.0,10.0,0.0,-0.0,0.01,0.166213341,16.6213341,0.0,0.0,100.0,1.0,0.11,-11.0,-59676.37215800651,59676.37215800651,0.0,-8875.622931267942,8875.622931267942,0.0,-11859.76537634862,11859.76537634862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-803128.6046562307,-803128.6046562307,80411.76046562307,80411.76046562307,80311.76046562307,0.0,100.0,0.0,0.0,80411.76046562307,80411.76046562307,1,0.0,100.0
23,63070.21079225956,0.0,-630702.1079225956,0.0,10.0,0.0,-0.0,0.01,0.164033259,16.4033259,0.0,0.0,100.0,1.0,0.11,-11.0,-43150.75883041678,43150.75883041678,0.0,-8008.748459088652,8008.748459088652,0.0,-12010.703502754128,12010.703502754128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-630713.1079225956,-630713.1079225956,63170.21079225956,63170.21079225956,63070.21079225956,0.0,100.0,0.0,0.0,63170.21079225956,63170.21079225956,1,0.0,100.0
24,48066.691748431214,0.0,-480666.91748431214,0.0,10.0,0.0,-0.0,0.01,0.1698413839999999,16.98413839999999,0.0,0.0,100.0,1.0,0.08,-8.0,-27040.190767387663,27040.190767387663,0.0,-9269.989877717137,9269.989877717137,0.0,-11856.51110332641,11856.51110332641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-480674.91748431214,-480674.91748431214,48166.691748431214,48166.691748431214,48066.691748431214,0.0,100.0,0.0,0.0,48166.691748431214,48166.691748431214,1,0.0,100.0
25,46006.41035719663,0.0,-460064.10357196635,0.0,10.0,0.0,-0.0,0.01,0.1731190219999999,17.31190219999999,0.0,0.0,100.0,1.0,0.08,-8.0,-25122.246853527795,25122.246853527795,0.0,-9130.494474216455,9130.494474216455,0.0,-11853.66902945238,11853.66902945238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-460072.10357196635,-460072.10357196635,46106.41035719663,46106.41035719663,46006.41035719663,0.0,100.0,0.0,0.0,46106.41035719663,46106.41035719663,1,0.0,100.0
26,44346.76616781851,0.0,-443467.6616781851,0.0,10.0,0.0,-0.0,0.01,0.1764647319999999,17.64647319999999,0.0,0.0,100.0,1.0,0.08,-8.0,-23323.53342585528,23323.53342585528,0.0,-9271.844523275671,9271.844523275671,0.0,-11851.388218687563,11851.388218687563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-443475.6616781851,-443475.6616781851,44446.76616781851,44446.76616781851,44346.76616781851,0.0,100.0,0.0,0.0,44446.76616781851,44446.76616781851,1,0.0,100.0
27,44028.068679680284,0.0,-440280.68679680285,0.0,10.0,0.0,-0.0,0.01,0.169054668,16.9054668,0.0,0.0,100.0,1.0,0.08,-8.0,-23145.37912229867,23145.37912229867,0.0,-9131.81961952746,9131.81961952746,0.0,-11850.869937854157,11850.869937854157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-440288.68679680285,-440288.68679680285,44128.068679680284,44128.068679680284,44028.068679680284,0.0,100.0,0.0,0.0,44128.068679680284,44128.068679680284,1,0.0,100.0
28,46151.557341730746,0.0,-461515.57341730746,0.0,10.0,0.0,-0.0,0.01,0.167960843,16.7960843,0.0,0.0,100.0,1.0,0.08,-8.0,-24719.87777409012,24719.87777409012,0.0,-9637.125170425288,9637.125170425288,0.0,-11894.55439721534,11894.55439721534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-461523.57341730746,-461523.57341730746,46251.557341730746,46251.557341730746,46151.557341730746,0.0,100.0,0.0,0.0,46251.557341730746,46251.557341730746,1,0.0,100.0
29,54523.55926003296,0.0,-545235.5926003297,0.0,10.0,0.0,-0.0,0.01,0.153002017,15.300201699999999,0.0,0.0,100.0,1.0,0.11,-11.0,-31626.34103115032,31626.34103115032,0.0,-10968.10447580695,10968.10447580695,0.0,-12029.11375307569,12029.11375307569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-545246.5926003297,-545246.5926003297,54623.55926003296,54623.55926003296,54523.55926003296,0.0,100.0,0.0,0.0,54623.55926003296,54623.55926003296,1,0.0,100.0
